id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
604486,ETH-2025-1-17147-335.2,2025,true,Check deaths,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""My views on news,2025-11-20,Tension on Tigray Afar Border | Heavy Fighting on 2 Fronts in Amhara""",My views on news,2025-11-20,Tension on Tigray Afar Border | Heavy Fighting on 2 Fronts in Amhara,MVON (Fano),3,North Welo zone,"Kobo front: Kobo to Ayub road; Ayub to Moja, Kulmesk",Amhara state,North Welo zone,11.92,39.1,POINT (39.1 11.92),146599,Ethiopia,530,Africa,2,2,2025-11-17,2025-11-20,0,0,0,0,0,4,0,530,
607399,ETH-2025-1-17147-381,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-23,War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025""",AAA,2025-11-23,"War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025",AAA,2,Yekegati kebele,"Yekegat area (in the vicinity of Elias town), Debre-Elias Woreda",Amhara state,East Gojjam zone,10.307612,37.418388,POINT (37.4183880221564 10.307612000641525),144435,Ethiopia,530,Africa,1,1,2025-11-17,2025-11-17,0,1,0,0,1,7,1,530,
607411,ETH-2025-1-17147-382,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-23,War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025""",AAA,2025-11-23,"War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025",AAA,2,Yismala town,"North Achefer Woreda

Yismala town neighborhood",Amhara state,West Gojjam zone,11.602517,36.905986,POINT (36.905985969535443 11.602516523963002),146594,Ethiopia,530,Africa,2,2,2025-11-19,2025-11-20,0,2,0,0,2,4,2,530,
606091,ETH-2025-1-17147-337,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,5,"""MVON,2025-11-20,Breaking News from Amhara | Birr Falls in Black Market"";""MVON,2025-11-21, Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano"";""MVON,2025-11-22,Ethiopia Wants to Own Eritrean Islands | Drone Strike on Fano"";""MVON,2025-11-22,Big News about Fano & TPLF"";""AAA,2025-11-23,War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025""",MVON;MVON;MVON;MVON;AAA,2025-11-20;2025-11-21;2025-11-22;2025-11-22;2025-11-23,"Breaking News from Amhara | Birr Falls in Black Market; Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano;Ethiopia Wants to Own Eritrean Islands | Drone Strike on Fano;Big News about Fano & TPLF;War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025","MVON (Fano, ENDF)",5,Bugna woreda,"Welo region

Bugna woreda

Quaro (two strikes, including one on the Quaro Health Center), Birquaqua (one strike), and Birqua (one strike)",Amhara state,North Welo zone,12.166831,38.704218,POINT (38.704218174929046 12.166831854621044),147318,Ethiopia,530,Africa,1,1,2025-11-19,2025-11-19,4,24,0,0,28,28,28,530,
606288,ETH-2025-1-17147-356,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""Borkena,2025-11-21,Fano Says It Attacked Ethiopian Government Forces In Bergbi Near Ataye""",Borkena,2025-11-21,Fano Says It Attacked Ethiopian Government Forces In Bergbi Near Ataye,"Abedela Indris, Spokesperson of the Fano forces operating in Ataye area",2,Ber Gibi kebele,"Bergbi Near Ataye


Yifratana Gidim woreda",Amhara state,North Shewa (Amhara) zone,10.322115,39.901902,POINT (39.90190223809109 10.322115453735297),144440,Ethiopia,530,Africa,1,1,2025-11-20,2025-11-20,0,0,0,0,0,9,0,530,
606290,ETH-2025-1-17147-358,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""Borkena,2025-11-21,Fano Says It Attacked Ethiopian Government Forces In Bergbi Near Ataye""",Borkena,2025-11-21,Fano Says It Attacked Ethiopian Government Forces In Bergbi Near Ataye,"Fano, ENDF",2,Ameja village,"Amoja Gebreil locality, Ephrata Gidim district

Ameja Gebriel",Amhara state,North Shewa (Amhara) zone,10.300706,39.861712,POINT (39.861712324719882 10.300705545121168),144440,Ethiopia,530,Africa,1,1,2025-11-20,2025-11-20,0,0,0,3,3,3,3,530,
606097,ETH-2025-1-17147-338.2,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,3,"""MVON,2025-11-21, Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano"";""MVON,2025-11-21, Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano"";""AAA,2025-11-23,War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025""",MVON;MVON;AAA,2025-11-21;2025-11-21;2025-11-23,"Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano; Ethiopian Forces Open Fire at Protesters | ENDF Closes Road to Conduct Operation Against Fano;War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025",MVON; AAA,5,Dembecha woreda,"Dembicha and Mechakel (on the Debre Markos - Bahir Dar road)

Dembecha-Zuriya Woreda

Jajiran, Gomedi, Yedegera, and Sensel",Amhara state,West Gojjam zone,10.538529,37.394066,POINT (37.39406608161471 10.538529401905633),145155,Ethiopia,530,Africa,1,1,2025-11-21,2025-11-21,0,2,0,0,2,4,2,530,
607396,ETH-2025-1-17147-380,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-23,War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025""",AAA,2025-11-23,"War updates from Amhara Region, Ethiopia – November 17th to 23rd, 2025",AAA,2,Abaselama kebele,"Kutaber Woreda

Abaselama
(Kebele 07)",Amhara state,South Welo zone,11.337905,39.519333,POINT (39.519333194288883 11.3379046594966),145880,Ethiopia,530,Africa,2,2,2025-11-21,2025-11-22,0,2,0,0,2,4,2,530,
607432,ETH-2025-1-17147-385,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""BBC Monitoring News Alert,2025-11-24,Ethiopian army kills 36 Fano, OLA fighters in western Oromia
CR 	Source: Ethiopian army on Facebook in Amharic, 24 Nov 25""",BBC Monitoring News Alert,2025-11-24,"Ethiopian army kills 36 Fano, OLA fighters in western Oromia
CR 	Source: Ethiopian army on Facebook in Amharic, 24 Nov 25",Army,5,Abe Dongoro woreda,Abiy Dongoro District of Horo Gudru Welega,Oromiya state,Horo Gudru Welega zone,9.5,36.83333,POINT (36.83333 9.5),143714,Ethiopia,530,Africa,1,2,2025-11-21,2025-11-23,0,19,0,0,19,19,19,530,
606382,ETH-2025-1-17147-359,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""Amhara Association of America,2025-12-01,War updates from Amhara Region, Ethiopia – November 24th to 30th, 2025""",Amhara Association of America,2025-12-01,"War updates from Amhara Region, Ethiopia – November 24th to 30th, 2025",AAA,2,Genet Abo village,"in the vicinity of Genet-Abo town

Quarit woreda",Amhara state,West Gojjam zone,10.821218,37.426278,POINT (37.426278602535106 10.821218941561188),145155,Ethiopia,530,Africa,1,1,2025-11-22,2025-11-22,0,5,0,0,5,5,5,530,
